1,'seguro pagan bien y las propuestas son tan infantiles que no me van a costar mucho'
1,'Black Lives Matters es un grupo violento y peligroso'
1,'Trump no es controlado por los bancos y la gente de negocios'
1,'Por presiones de diversos colectivos, he decidido quitarme el #TrumpForPresident del nombre. Sin embargo le seguiré apoyando desde la sombra'
1,'Y menos mal que Donald Trump aun no es presidente que si no...'
-1,'Si es como dices en tu descripción: 'It's all about Freedom' no niegues la libertad a los musulmanes'
-1,'Se valla pa la mierda el gringo este'
-1,'El problema no es Trump, que también, sino los putos pirados que le votan'
-1,'the convoys alterados muchas gracias homies #fucktrump'
-1,'Amo a México y su gente—lo considero mi país. Por eso exijo un alto a la violencia e impunidad y defiendo NUESTROS derechos #FuckTrump Okay?'
